,comp_name,ticker,year,gvkey,org_number,isin,finbas_id,segment,industry,supersector,supersector_icb,hq_country,ceo_sust_statem,reported_curr,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share,combined
75,Stolt-Nielsen,SNI,2021.0,16403.0,,BMG850801025,.,Mid,Industrials,Industrial Goods & Services,5020,Bermuda,Y,USD,1947.394643,Y,Y,Y,208800,N,N,Y,430,N,108884000,ND,7,N,Y,N,N,Y ,1.3125,Stolt-Nielsen (SNI)
76,Stolt-Nielsen,SNI,2022.0,16403.0,,BMG850801025,.,Large,Industrials,Industrial Goods & Services *,5020,Bermuda,,USD,2632.167214,N,Y,Y,ND,N,N,Y,ND,N,1827857000,ND,3,N,N,N,N,N,50.80487263,Stolt-Nielsen (SNI)
77,Stolt-Nielsen,SNI,2014.0,16403.0,ND,BMG850801025,1275,Mid,Industrials,Industrial Goods & Services,2700,Bermuda,N,USD,1549.2,Y,Y,Y,ND,N,N,Y,ND,ND,ND,ND,13,N,Y,N,Y,Y,0.96,Stolt-Nielsen (SNI)
78,Stolt-Nielsen,SNI,2015.0,16403.0,ND,BMG850801025,1275,Mid,Industrials,Constructions & Materials,2300,Norway,N,USD,1819.9,Y,Y,Y,ND,N,N,Y,ND,Y,ND,ND,8,N,N,N,N,N,2.17,Stolt-Nielsen (SNI)
79,Stolt-Nielsen,SNI,2017.0,16403.0,ND,BMG850801025,1275,Mid,Industrials,Industrial Goods & Services,2700,Bermuda,N,USD,1664.2,Y,N,Y,ND,N,N,N,ND,N,ND,ND,7,N,N,N,N,N,0.7,Stolt-Nielsen (SNI)
80,Stolt-Nielsen,SNI,2018.0,16403.0,,BMG850801025,1275,Mid,Industrials,Industrials,5020*,Bermuda,Y,USD,425.7669643,Y,Y,Y,ND,N,N,Y,ND,N,ND,ND,8,N,Y,N,N,Y,0.794642857,Stolt-Nielsen (SNI)
81,Stolt-Nielsen,SNI,2019.0,16403.0,ND,BMG850801025,1275,Mid,Industrials,Industrial Goods & Services,2700,United Kingdom,N,USD,1818.75,Y,N,Y,ND,N,N,N,ND,N,ND,ND,9,N,Y,ND,N,N,0.3125,Stolt-Nielsen (SNI)
82,Stolt-Nielsen,SNI,2020.0,16403.0,,BMG850801025,1275,Mid,Industrials,Industrial Goods and Services*,5020*,Bermuda,N,USD,1745.657143,Y,Y,Y,ND,N,N,Y,ND,N,ND,ND,10,N,N,N,N,N,0.580357143,Stolt-Nielsen (SNI)
83,Team Tankers International Ltd.,TEAM,2014.0,279341.0,ND,BMG870871057,7119,Mid,Industrials,Industrial Goods & Services,2700,Bermuda,N,USD,0,Y,N,N,ND,N,N,N,ND,ND,ND,ND,3,N,N,N,N,N,ND,Team Tankers International Ltd. (TEAM)
84,Team Tankers International Ltd.,TEAM,2015.0,279341.0,ND,BMG870871057,7119,Mid,Industrials,Industrial Goods & Services,2700,Bermuda,N,USD,293,Y,N,N,ND,N,N,N,ND,N,ND,ND,4,N,N,N,N,N,2.39,Team Tankers International Ltd. (TEAM)
85,Team Tankers International Ltd.,TEAM,2016.0,279341.0,ND,BMG870871057,7119,Mid,Industrials,Construction & Materials,2300,Norway,N,USD,253.8,Y,N,N,ND,N,N,N,ND,N,ND,ND,5,N,N,N,N,N,-0.1,Team Tankers International Ltd. (TEAM)
86,Team Tankers International Ltd.,TEAM,2017.0,279341.0,ND,BMG870871057,7119,Mid,Industrials,Industrial Goods & Services,2700,Bermuda,N,USD,204.4,N,N,N,ND,N,N,N,ND,N,ND,ND,0,N,N,N,N,N,-0.3,Team Tankers International Ltd. (TEAM)
